idx,disease,Symptom,reason,TestsAndProcedures,commonMedications,label
163,Priapism,"['Penis pain', 'Painful urination', 'Back pain', 'Pain during intercourse', 'Leg cramps or spasms', 'Impotence', 'Drug abuse', 'Allergic reaction', 'Premature ejaculation', 'Ache all over', 'Abusing alcohol', 'Elbow weakness']","Priapism (/\xcb\x88pra\xc9\xaa\xc9\x99p\xc9\xaaz\xc9\x99m/) a potentially painful medical condition, in which the erect penis does not return to its flaccid state, despite the absence of both physical and psychological stimulation, within four hours. There are two types of priapism: low-flow and high-flow; 80% to 90% of clinically presented priapisms are low flow disorders. Low-flow involves the blood not adequately returning to the body from the organ. High-flow involves a short-circuit of the vascular system partway along the organ. Treatment is different for each type. Priapism is considered a medical emergency, which should receive proper treatment by a qualified medical practitioner. Early treatment can be beneficial for a functional recovery. ","['Hematologic tests (Blood test)', 'Intravenous fluid replacement', 'Complete blood count (Cbc)', 'Urinalysis', 'Nonoperative urinary system measurements', 'Insertion of catheter into urinary bladder', 'Prostate specific antigen measurement (Prostate specific antigen test)']","['Phenylephrine (Duramax)', 'Terbutaline', 'Pseudoephedrine (Pcm-La)', 'Leuprolide (Lupron)', 'Diazepam (Valium)', 'Phentolamine', 'Papaverine', 'Albumin Human, Usp (Albutein)', 'Bromocriptine', 'Hydroxyurea', 'Baclofen', 'Sildenafil (Viagra)']",disease
164,Myositis,"['Leg pain', 'Knee pain', 'Skin rash', 'Back pain', 'Headache', 'Loss of sensation', 'Paresthesia', 'Muscle pain', 'Hip pain', 'Lower body pain', 'Leg weakness', 'Problems with movement']","Myositis is a general term for inflammation of the muscles. Many such conditions are considered likely to be caused by autoimmune conditions, rather than directly due to infection (although autoimmune conditions can be activated or exacerbated by infections.) It is also a documented side effect of the lipid-lowering drugs statins and fibrates. ","['Complete physical skin exam performed (ML)', 'Physical therapy exercises (Exercises)', 'Wound care management', 'Magnetic resonance imaging (Mri)', 'Bone density scan', 'Occupational therapy assessment (Speech therapy)', 'Traction; splints; and other wound care']","['Methotrexate', 'Folic Acid', 'Mycophenolate Mofetil (Cellcept)', 'Azathioprine', 'Hydroxychloroquine (Plaquenil)', 'Immunoglobulins, Intravenous (Gammagard)', 'Intramuscular Immunoglobulin (Baygam)', 'Cyclosporine', 'Fluocinonide Topical', 'Desloratadine (Clarinex)', 'Formaldehyde Topical']",disease
165,Mononucleosis,"['Sore throat', 'Fever', 'Headache', 'Swollen lymph nodes', 'Fatigue', 'Ache all over', 'Ear pain', 'Cough', 'Nasal congestion', 'Skin rash', 'Feeling ill', 'Nausea']"," Mononucleosis (also called ""Mono"", glandular fever, and, colloquially, the ""kissing disease""), is a disease most commonly caused by the Epstein-Barr virus (EBV). EBV affects the lymphocytes which are white blood cells involved in the adaptive immune system. Mononucleosis can also be caused by cytomegalovirus (HCMV), a herpes virus most commonly found in body fluids. While CMV can cause mononucleosis, 85% of the cases are associated with EBV. The disease can be seen in many populations and age cohorts, but is most commonly contracted by adolescents and young adults ages 15\xe2\x80\x9335. ","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Intravenous fluid replacement', 'Kidney function tests (Kidney function test)', 'Electrolytes panel', 'Liver function tests (Liver test)', 'Blood culture']","['Dexamethasone Topical Product', 'Adapalene Topical', 'Phentermine', 'Nalbuphine (Nubain)', ""Cat\\'S Claw Preparation"", 'Tromethamine', 'Cladribine', 'Intramuscular Immunoglobulin (Baygam)', 'Lipase', 'Desoximetasone Topical']",disease
166,Neuralgia,"['Back pain', 'Leg pain', 'Loss of sensation', 'Neck pain', 'Low back pain', 'Ache all over', 'Arm pain', 'Foot or toe pain', 'Headache', 'Hip pain', 'Paresthesia', 'Shoulder pain']","Neuralgia is pain in one or more nerves caused by a change in neurological structure or function of the nerves rather than by excitation of healthy pain receptors. Neuralgia falls into two categories: central neuralgia, where the cause of the pain is located in the spinal cord or brain, and peripheral neuralgia. This unusual pain is thought to be linked to four possible mechanisms: ion channel gate malfunctions; the nerve fibers become mechanically sensitive and create an ectopic signal; signals in touch fibers cross to pain fibers; and malfunction due to damage in the brain and spinal cord. ","['Magnetic resonance imaging (Mri)', 'Physical therapy exercises (Exercises)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Other therapeutic procedures', 'Insertion of catheter or spinal stimulator and injection into spinal canal', 'Examination of foot', 'Physical therapy exercises; manipulation; and other procedures']","['Gabapentin', 'Pregabalin (Lyrica)', 'Carisoprodol (Soma)', 'Tizanidine', 'Botulism Antitoxin', 'Almotriptan (Axert)', 'Colesevelam (Welchol)', 'Chloroprocaine', 'Bellergal-S']",disease
167,Polycystic kidney disease,"['Side pain', 'Blood in urine', 'Sharp abdominal pain', 'Kidney mass', 'Back pain', 'Low back pain', 'Painful urination', 'Symptoms of the kidneys', 'Retention of urine', 'Frequent urination', 'Suprapubic pain', 'Skin growth']","Polycystic kidney disease (PKD or PCKD, also known as polycystic kidney syndrome) is a cystic genetic disorder of the kidneys. There are two types of PKD: autosomal dominant polycystic kidney disease (ADPKD) and the less-common autosomal recessive polycystic kidney disease (ARPKD). ","['Urinalysis', 'Radiographic imaging procedure', 'Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'X-ray computed tomography (Scan ct)', 'Ultrasonography (Ultrasound)', 'Glucose measurement (Glucose level)']","['Tacrolimus (Prograf)', 'Nifedipine', 'Cinacalcet (Sensipar)', 'Irbesartan (Avapro)', 'Valganciclovir (Valcyte)', 'Sevelamer (Renvela)', 'Calcitriol', 'Dutasteride (Avodart)', 'Finasteride (Propecia)', 'Paricalcitol (Zemplar)', 'Mycophenolic Acid (Myfortic)']",disease
168,Bipolar disorder,"['Depressive or psychotic symptoms', 'Depression', 'Anxiety and nervousness', 'Insomnia', 'Hostile behavior', 'Delusions or hallucinations', 'Abusing alcohol', 'Drug abuse', 'Excessive anger', 'Temper problems', 'Fears and phobias', 'Obsessions and compulsions']","Bipolar disorder (also known as bipolar affective disorder, manic-depressive disorder, or manic depression) is a psychiatric diagnosis for a mood disorder. Individuals with bipolar disorder experience episodes of a frenzied state known as mania, typically alternating with episodes of depression. ","['Psychotherapy', 'Mental health counseling', 'Toxicology screen', 'Depression screen (Depression screening)', 'Blood alcohol', 'Psychological and psychiatric evaluation and therapy', 'Occupational therapy assessment (Speech therapy)']","['Quetiapine (Seroquel)', 'Lamotrigine (Lamictal)', 'Divalproex Sodium (Depakote)', 'Lithium (Li)', 'Aripiprazole (Abilify)', 'Clonazepam', 'Risperidone', 'Bupropion (Wellbutrin)', 'Olanzapine (Zyprexa)', 'Ziprasidone (Geodon)', 'Benztropine', 'Oxcarbazepine (Trileptal)']",disease
169,Amyloidosis,"['Shortness of breath', 'Fatigue', 'Anxiety and nervousness', 'Symptoms of the kidneys', 'Congestion in chest', 'Fever', 'Weakness', 'Abnormal appearing skin', 'Wrist weakness', 'Nailbiting', 'Eye strain', 'Feeling hot and cold']","In medicine, amyloidosis refers to a variety of conditions wherein normally soluble proteins become insoluble and are deposited in the extracellular space of various organs or tissues, disrupting normal function. The insoluble fibrous protein aggregates that develop in amyloidosis are known as amyloids. They result from a change in the protein\'s secondary structure, which causes the protein to take on a particular aggregated insoluble form, similar to the beta-pleated sheet. Symptoms vary widely depending upon where in the body amyloid deposits accumulate. Amyloidosis may be inherited or acquired. Senile systemic amyloidosis was determined to be the primary cause of death for 70% of supercentenarians who have been autopsied. ","['Hematologic tests (Blood test)', 'Human papillomavirus DNA detection', 'Traction; splints; and other wound care', 'Chlamydia test', 'Corneal transplant', 'Procedures on spleen (Spleen operation)', 'Removal of ectopic pregnancy']","['Furosemide', 'Thyroxine (Synthroid)', 'Melphalan', 'Dexamethasone', 'Ezetimibe (Zetia)', 'Citalopram (Celexa)', 'Pantoprazole', 'Sodium Hypochlorite Topical', 'Tazarotene Topical', 'Fludrocortisone', 'Hydrocortisone']",disease
170,Chronic inflammatory demyelinating polyneuropathy (CIDP),"['Loss of sensation', 'Weakness', 'Problems with movement', 'Leg weakness', 'Leg cramps or spasms', 'Abnormal involuntary movements', 'Facial pain', 'Fatigue', 'Hand or finger weakness', 'Focal weakness', 'Dizziness', 'Leg pain']",Chronic inflammatory demyelinating polyneuropathy (CIDP) is an acquired immune-mediated inflammatory disorder of the peripheral nervous system. The disorder is sometimes called chronic relapsing polyneuropathy or chronic inflammatory demyelinating polyradiculoneuropathy (because it involves the nerve roots). CIDP is closely related to Guillain-Barr\xc3\xa9 syndrome and it is considered the chronic counterpart of that acute disease. Its symptoms are also similar to progressive inflammatory neuropathy. An asymmetrical variant of CIDP is known as Lewis-Sumner syndrome. ,"['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Examination of foot', 'Electroencephalogram (EEG) (Eeg)', 'Other therapeutic procedures', 'Corneal transplant']","['Immunoglobulins, Intravenous (Gammagard)', 'Gabapentin', 'Azathioprine', 'Vitamin B 12', 'Amitriptyline', 'Triamcinolone', 'Ergocalciferol', 'Intramuscular Immunoglobulin (Baygam)', 'Indapamide', 'Glatiramer (Copaxone)', 'Piroxicam', 'Selenium Sulfide Topical']",disease
171,Gastroesophageal reflux disease (GERD),"['Sharp chest pain', 'Sharp abdominal pain', 'Vomiting', 'Heartburn', 'Cough', 'Nausea', 'Burning abdominal pain', 'Upper abdominal pain', 'Difficulty in swallowing', 'Regurgitation', 'Chest tightness', 'Hoarse voice']","Gastroesophageal reflux disease (GERD), gastro-oesophageal reflux disease (GORD), gastric reflux disease, or acid reflux disease is a chronic symptom of mucosal damage caused by stomach acid coming up from the stomach into the esophagus. ","['Electrocardiogram', 'Lipid panel', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Hemoglobin A1c measurement (Hemoglobin a1c test)', 'Sigmoidoscopy or colonoscopy', 'Upper gastrointestinal endoscopy; biopsy', 'Rectal examination']","['Omeprazole', 'Esomeprazole (Nexium)', 'Ranitidine', 'Lansoprazole (Prevacid)', 'Pantoprazole', 'Rabeprazole (Aciphex)', 'Sucralfate (Carafate)', 'Dexlansoprazole (Dexilant)', 'Nizatidine (Axid)']",disease
172,Vitreous hemorrhage,"['Diminished vision', 'Spots or clouds in vision', 'Blindness', 'Symptoms of eye', 'Pain in eye', 'Bleeding from eye', 'Lacrimation']","Vitreous hemorrhage is the extravasation, or leakage, of blood into the areas in and around the vitreous humor of the eye. The vitreous humor is the clear gel that fills the space between the lens and the retina of the eye. A variety of conditions can result in blood leaking into the vitreous humor, which can cause impaired vision, floaters, and photopsia. ","['Ophthalmic examination and evaluation (Eye exam)', 'Other therapeutic procedures on eyelids; conjunctiva; cornea', 'Repair of retinal tear; detachment', 'Other intraocular therapeutic procedures', 'Excision (Removal)', 'Other extraocular muscle and orbit therapeutic procedures', 'Ophthalmologic and otologic diagnosis and treatment']","['Prednisolone Ophthalmic', 'Tropicamide Ophthalmic', 'Phenylephrine (Duramax)', 'Brimonidine Ophthalmic', 'Moxifloxacin (Avelox)', 'Bevacizumab (Avastin)', 'Ranibizumab Ophthalmic', 'Gatifloxacin (Zymar)', 'Benoxinate-Fluorescein Ophthalmic', 'Homatropine Ophthalmic', 'Brimonidine-Timolol Ophthalmic', 'Cyclopentolate Ophthalmic']",symptom
173,Poisoning due to antimicrobial drugs,"['Skin rash', 'Allergic reaction', 'Problems with movement', 'Abnormal involuntary movements', 'Vomiting', 'Nausea', 'Posture problems', 'Shortness of breath', 'Depressive or psychotic symptoms', 'Paresthesia', 'Cough', 'Peripheral edema']"," prednisone, ","['Hematologic tests (Blood test)', 'Complete blood count (Cbc)', 'Intravenous fluid replacement', 'Electrolytes panel', 'Kidney function tests (Kidney function test)', 'Occupational therapy assessment (Speech therapy)', 'Physical therapy exercises (Exercises)']","['Diphenhydramine (Benadryl)', 'Prednisone', 'Methylprednisolone (Medrol)', 'Hydroxyzine', 'Famotidine', 'Ranitidine', 'Bupropion (Wellbutrin)', 'Epinephrine', 'Clindamycin', 'Prochlorperazine (Compro)', 'Nicardipine', 'Levonorgestrel']",medication
174,Open wound of the mouth,"['Tongue lesions', 'Toothache', 'Seizures', 'Lip swelling', 'Bleeding in mouth', 'Tongue bleeding', 'Mouth pain', 'Peripheral edema', 'Neck swelling', 'Gum pain', 'Sneezing', 'Mouth ulcer']"," chlorhexidine topical, ","['Suturing of wound', 'Wound care management', 'X-ray computed tomography (Scan ct)', 'CAT scan of head (Head ct)', 'Other therapeutic procedures', 'Treatment; facial fracture or dislocation', 'Other non-OR therapeutic procedures on nose; mouth and pharynx']","['Clindamycin', 'Chlorhexidine Topical', 'Ketamine', 'Atropine (Uaa)', 'Hydrogen Peroxide Topical', 'Fosphenytoin', 'Glycopyrrolate']",medication
175,Scleroderma,"['Skin lesion', 'Skin rash', 'Skin dryness, peeling, scaliness, or roughness', 'Abnormal appearing skin', 'Itching of skin', 'Skin growth', 'Lip swelling', 'Skin irritation', 'Warts', 'Feeling ill', 'Irregular appearing scalp', 'Acne or pimples']","Scleroderma is a chronic systemic autoimmune disease (primarily of the skin -""derma"") characterized by fibrosis (or hardening -""sclero""), vascular alterations, and autoantibodies. There are two major forms: ","['Complete physical skin exam performed (ML)', 'Excision (Removal)', 'Wound care management', 'Biopsy', 'Pelvis exam', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Excision of skin lesion']","['Clobetasol Topical', 'Hydrocortisone Topical', 'Lactic Acid Topical', 'Urea Topical', 'Petrolatum Topical', 'Mycophenolate Mofetil (Cellcept)', 'Desonide Topical', 'Tretinoin Topical', 'Fluocinolone Topical', 'Salicylic Acid Topical', 'Terbinafine Topical', 'Candesartan (Atacand)']",disease
176,Myasthenia gravis,"['Double vision', 'Weakness', 'Fatigue', 'Abnormal movement of eyelid', 'Dizziness', 'Focal weakness', 'Headache', 'Shortness of breath', 'Diminished vision', 'Slurring words', 'Arm weakness', 'Coughing up sputum']","Myasthenia gravis (from Greek \xce\xbc\xcf\x8d\xcf\x82 ""muscle"", \xe1\xbc\x80\xcf\x83\xce\xb8\xce\xad\xce\xbd\xce\xb5\xce\xb9\xce\xb1 ""weakness"", and Latin: gravis ""serious""; abbreviated MG) is an autoimmune neuromuscular disease leading to fluctuating muscle weakness and fatigability. It is an autoimmune disorder, in which weakness is caused by circulating antibodies that block acetylcholine receptors at the postsynaptic neuromuscular junction, inhibiting the excitatory effects of the neurotransmitter acetylcholine on nicotinic receptors throughout neuromuscular junctions. ","['Hematologic tests (Blood test)', 'Other diagnostic procedures (interview; evaluation; consultation)', 'Magnetic resonance imaging (Mri)', 'Hemoglobin A1c measurement (Hemoglobin a1c test)', 'Lipid panel', 'Bone density scan', 'Ophthalmic examination and evaluation (Eye exam)']","['Pyridostigmine (Mestinon)', 'Prednisone', 'Azathioprine', 'Mycophenolate Mofetil (Cellcept)', 'Vitamin B 12', 'Neostigmine', 'Dexamethasone', 'Nabumetone', 'Immunoglobulins, Intravenous (Gammagard)', 'Methimazole', 'Cyclosporine', 'Bumetanide']",disease
